No.;Category;Brand;Product Name;Size;Wholesale Price (€);Suggested Selling Price (€);Profit per Unit (€);Margin %;Stock Available;Source ID;EAN;Variant Group;Your Decision (KEEP/REMOVE);Your Custom Price (€)

--- PERFUMES ---
90;Perfumes;Carolina Herrera;Carolina Herrera - Nightfall Patchouli Eau de Parfum - 100 ml - Unisex;100 ml;142.13;229.95;87.82;38.2%;12;DST370391;8411061789179;Carolina Herrera - sandal ruby by carolina herrera - eau de parfum sp;;
91;Perfumes;Carolina Herrera;Sandal Ruby by Carolina Herrera 100 ml - Eau De Parfum Spray (Unisex);100 ml;157.39;229.95;72.56;31.6%;4;DST372217;8411061946374;Carolina Herrera - sandal ruby by carolina herrera - eau de parfum sp;;
92;Perfumes;Carolina Herrera;Carolina Herrera - 212 VIP - Eau De Parfum - 125ML;125 ml;75.44;144.95;69.51;48.0%;19;DST20031;8411061878668;Carolina Herrera - sandal ruby by carolina herrera - eau de parfum sp;;
93;Perfumes;Carolina Herrera;Carolina Herrera - 212 VIP Rose - Eau De Parfum - 125ML;125 ml;85.91;139.95;54.04;38.6%;24;DST225236;8411061838778;Carolina Herrera - sandal ruby by carolina herrera - eau de parfum sp;;
94;Perfumes;Carolina Herrera;Carolina Herrera Platinum Leather EDP U 100 ml;100 ml;153.86;224.95;71.09;31.6%;4;DST1360613;8411061923726;Carolina Herrera - carolina herrera platinum leather edp u;;
95;Perfumes;Carolina Herrera;Carolina Herrera Gold Myrrh Absolute Eau De Parfum 100 ml (unisex);100 ml;143.84;234.95;91.11;38.8%;6;DST935527;8411061001905;Carolina Herrera - carolina herrera gold myrrh absolute eau de parfum;;
96;Perfumes;Chanel;Chanel No.5 EDT - Twist and Spray W 3 x 20 ml;20 ml;100.10;164.95;64.85;39.3%;25;DST59987;3145891051209;Chanel - chanel no.5 edp w;;
97;Perfumes;Chanel;Chanel No.5 HMI W 35 ml;35 ml;59.55;114.95;55.40;48.2%;150;DST432751;3145891057980;Chanel - chanel no.5 edp w;;
98;Perfumes;Chanel;Chanel Allure EDP W 35 ml;35 ml;64.11;124.95;60.84;48.7%;296;DST229060;3145891124408;Chanel - chanel no.5 edp w;;
99;Perfumes;Chanel;Chanel No.5 L'Eau EDT W 35 ml;35 ml;81.36;134.95;53.59;39.7%;3;DST846743;3145891055108;Chanel - chanel no.5 edp w;;
100;Perfumes;Chanel;Chanel Gabrielle EDP W 35 ml;35 ml;82.32;134.95;52.63;39.0%;8;DST232103;3145891204407;Chanel - chanel no.5 edp w;;
101;Perfumes;Chanel;Chanel Coco EDT W 50 ml;50 ml;84.34;134.95;50.61;37.5%;163;DST132726;3145891234503;Chanel - chanel no.5 edp w;;
102;Perfumes;Chanel;Chanel Allure EDT W 50 ml;50 ml;90.02;144.95;54.93;37.9%;7;DST748849;3145891124507;Chanel - chanel no.5 edp w;;
